"N","High level GO category","Genes"
15,"Establishment of localization ","100820282 100787870 100796349 100810009 100813657 100787806 100817452 100816746 100780059 100799211 100811318 100785556 100783641 100777579 100785453"
12,"Cellular component organization or biogenesis ","100814240 100810009 100811312 100787806 100779997 100810500 100812465 100816916 100817452 100780059 100779834 100795636"
11,"Cellular component organization ","100814240 100810009 100811312 100787806 100779997 100812465 100816916 100817452 100780059 100779834 100795636"
9,"Cellular response to stimulus ","100817780 100779316 100790644 100812465 100816916 100808416 100808472 100784474 100820185"
7,"Catabolic process ","100788208 100796349 100812650 100782483 100808318 100780029 100795636"
7,"Macromolecule localization ","100796349 100810009 100787806 100817452 100780059 100783641 100777579"
6,"Signaling ","100817780 100779316 100790644 100808416 100808472 100784474"
6,"Regulation of biological quality ","100788208 100814240 100787870 100817452 100816746 100799211"
5,"Response to chemical ","100817780 100790644 100808416 100808472 100820185"
5,"Cellular component biogenesis ","100814240 100811312 100787806 100810500 100779834"
5,"Positive regulation of biological process ","100788208 100814240 100811685 100804074 100807322"
5,"Negative regulation of biological process ","100788208 100796349 100805537 100808416 100797277"
4,"Response to stress ","100792065 100812465 100816916 100816746"
4,"Response to endogenous stimulus ","100817780 100790644 100808416 100808472"
4,"Cellular localization ","100796349 100810009 100787806 100780059"
3,"Regulation of molecular function ","100305537 100808416 100807322"
2,"Multicellular organismal process ","100804074 100783811"
2,"Developmental process ","100804074 100783811"
2,"Anatomical structure development ","100804074 100783811"
2,"Cell wall organization or biogenesis ","100779834 100795636"
1,"Reproduction ","100812465"
1,"Immune system process ","100792065"
1,"Reproductive process ","100812465"
1,"Detoxification ","100820185"
1,"Immune response ","100792065"
1,"Cell population proliferation ","100804074"
1,"Response to external stimulus ","100792065"
1,"Response to biotic stimulus ","100792065"
1,"Response to abiotic stimulus ","100816746"
1,"Cell cycle process ","100779834"
1,"Methylation ","100776353"
1,"Regulation of cellular component biogenesis ","100814240"
1,"Biological process involved in interspecies interaction between organisms ","100792065"
1,"Response to other organism ","100792065"
1,"Cellular detoxification ","100820185"
