#feat_name	source_int	mapped_int	source_id	mapped_id	source_length	mapped_length	source_start	source_stop	source_strand	source_sub_start	source_sub_stop	mapped_start	mapped_stop	mapped_strand	coverage	recip	asm_unit	
Line:1	1	1	chr1	chr1	1001	1001	45319866	45320866	+	45319866	45320866	46191324	46192324	+	1.00000	First Pass	Primary Assembly
Line:2	1	1	chr1	chr1	1001	1001	980976	981976	+	980976	981976	981275	982275	+	1.00000	First Pass	Primary Assembly
Line:3	1	1	chr9	chr9	1001	1001	40211362	40212362	+	40211362	40212362	42889006	42890006	+	1.00000	First Pass	Primary Assembly
Line:4	1	1	chr5	chr5	1001	1001	8324454	8325454	+	8324454	8325454	795502	796502	-	1.00000	First Pass	Primary Assembly
Line:5	1	1	chr17	chr17	1001	1001	12450139	12451139	+	12450139	12451139	12188095	12189095	+	1.00000	First Pass	Primary Assembly
Line:6	1	1	chr1	chr1	1001	1001	55686774	55687774	+	55686774	55687774	56602803	56603803	+	1.00000	First Pass	Primary Assembly
Line:7	1	1	chr16	chr16	1001	1001	32026203	32027203	+	32026203	32027203	32515741	32516741	+	1.00000	First Pass	Primary Assembly
Line:8	1	1	chr15	chr15	1001	1001	48542594	48543594	+	48542594	48543594	49335986	49336986	+	1.00000	First Pass	Primary Assembly
Line:9	1	1	chr1	chr1	1001	1001	43265261	43266261	+	43265261	43266261	44128614	44129614	+	1.00000	First Pass	Primary Assembly
Line:10	1	1	chr20	chr20	1001	1001	25834870	25835870	+	25834870	25835870	27003224	27004224	+	1.00000	First Pass	Primary Assembly
Line:11	1	1	chr10	chr10	1001	1001	14112697	14113697	+	14112697	14113697	14350689	14351689	+	1.00000	First Pass	Primary Assembly
Line:12	1	1	chr9	chr9	1001	1001	43488324	43489324	+	43488324	43489324	46693216	46694216	+	1.00000	First Pass	Primary Assembly
Line:13	1	1	chr7	chr7	1001	1001	37536849	37537849	+	37536849	37537849	37442495	37443495	+	1.00000	First Pass	Primary Assembly
Line:14	1	1	chr1	chr1	1001	1001	1008709	1009709	+	1008709	1009709	1009008	1010008	+	1.00000	First Pass	Primary Assembly
Line:15	1	1	chr1	chr1	1001	1001	45319853	45320853	+	45319853	45320853	46191311	46192311	+	1.00000	First Pass	Primary Assembly
Line:16	1	1	chr10	chr10	1001	723	10329728	10330728	+	10330006	10330728	10517139	10517861	+	0.72228	First Pass	Primary Assembly
Line:17	1	1	chr6	chr6	1001	1001	47366878	47367878	+	47366878	47367878	47898128	47899128	+	1.00000	First Pass	Primary Assembly
Line:18	1	1	chr9	chr9	1001	1001	40996259	40997259	+	40996259	40997259	43710549	43711549	+	1.00000	First Pass	Primary Assembly
